# CUTOFF	ENERGY [MeV]	OMEGA [MeV]	PHSH [deg]	ERE [fm^-(2l+1)]	Flag G_C	Flag G_CT	G_C(rmin,rmin) [MeV^-1 fm^-3]	 G_CT(rmin,rmin) [MeV^-1 fm^-3]
0.0	1.5085	0.5	62.88523405940249	0.13589490892141282	0	0	-24.10710003918501	-24.108845325109783
0.0	1.5163	0.5	61.45973602094381	0.14074041159563228	0	0	-24.107102613762105	-24.108962623469413
0.0	1.5241	0.5	60.03226382846488	0.1457460634447228	0	0	-24.107105000768932	-24.109083606614824
0.0	1.5318	0.5	58.6213229673899	0.15085677745928605	0	0	-24.107107170788776	-24.10920694349904
0.0	1.5396	0.5	57.190480794367275	0.15621862265825184	0	0	-24.107109180658068	-24.109336159310796
0.0	1.5474	0.5	55.75830581541721	0.161780995738528	0	0	-24.107111004324175	-24.10947003462129
0.0	1.5552	0.5	54.32508325314978	0.16755988722270215	0	0	-24.10711264792232	-24.109608961046384
0.0	1.5629	0.5	52.909505902111164	0.1734941995162568	0	0	-24.107114102388895	-24.109751482440863
0.0	1.5707	0.5	51.4751178786999	0.17975720686138286	0	0	-24.107115416589743	-24.10990177308507
0.0	1.5785	0.5	50.040616151778636	0.18629479156147893	0	0	-24.10711658397744	-24.110058547789766
0.0	1.5863	0.5	48.60631008248822	0.1931307796269517	0	0	-24.10711761994176	-24.110222396369807
0.0	1.594	0.5	47.190871268164166	0.20019781412167006	0	0	-24.10711853039199	-24.11039172622278
0.0	1.6018	0.5	45.757802905760784	0.20770900642611456	0	0	-24.107119357231767	-24.110571666284013
0.0	1.6096	0.5	44.325732771278545	0.21560837144855688	0	0	-24.107120107450278	-24.11076089936951
0.0	1.6174	0.5	42.89486843131729	0.22393401752289172	0	0	-24.10712080129056	-24.11096036454519
0.0	1.6251	0.5	41.48369706171934	0.23261335936515626	0	0	-24.107121451095836	-24.111168349091514
0.0	1.6329	0.5	40.05569315346742	0.24192079338195882	0	0	-24.107122094230256	-24.111391456160096
0.0	1.6407	0.5	38.62928131601264	0.25180346974333695	0	0	-24.10712274251749	-24.111628448518854
0.0	1.6485	0.5	37.204508936149814	0.2623268731707785	0	0	-24.107123415834106	-24.111880925004346
0.0	1.6563	0.5	35.781383550680324	0.27356694481420407	0	0	-24.1071241331884	-24.112150735723926
0.0	1.664	0.5	34.3780897169662	0.28545230087221996	0	0	-24.107124901993398	-24.112436191424905
0.0	1.6718	0.5	32.958115098675705	0.29839431365737623	0	0	-24.10712575852786	-24.112747198272487
0.0	1.6796	0.5	31.539600857081297	0.31236636197034756	0	0	-24.107126708128824	-24.113083144423793
0.0	1.6874	0.5	30.12242787164652	0.32751391391906426	0	0	-24.1071277638915	-24.113447550594604
0.0	1.6951	0.5	28.724603192984418	0.34379032514427865	0	0	-24.107128921142472	-24.113839311551835
0.0	1.7029	0.5	27.30966692591876	0.36182629286918416	0	0	-24.10713021893981	-24.114273625763044
0.0	1.7107	0.5	25.895615999618226	0.3816753408916845	0	0	-24.10713164998954	-24.114751800861
0.0	1.7185	0.5	24.482281939805166	0.4036524963948191	0	0	-24.107133219056823	-24.115281437846374
0.0	1.7262	0.5	23.087606699920375	0.4278180926404069	0	0	-24.107134905883758	-24.115863995048205
0.0	1.734	0.5	21.675203958921035	0.45528850292784884	0	0	-24.10713675465497	-24.116526388128687
0.0	1.7418	0.5	20.263036100825143	0.4863978622489793	0	0	-24.107138742613095	-24.117276675259657
0.0	1.7496	0.5	18.850962538793635	0.521966327880284	0	0	-24.107140865938096	-24.11813462916002
0.0	1.7573	0.5	17.456963011118223	0.5625121508118571	0	0	-24.107143089176716	-24.119112734411317
0.0	1.7651	0.5	16.044723889940393	0.6105389810577281	0	0	-24.107145462557376	-24.120271365227573
0.0	1.7729	0.5	14.632260919027377	0.6675874445441784	0	0	-24.107147948753937	-24.121647657146195
0.0	1.7807	0.5	13.219506523763886	0.7365548114406498	0	0	-24.1071505369836	-24.12331146175135
0.0	1.7884	0.5	11.824532142849034	0.8205078039341713	0	0	-24.10715318028412	-24.125336703496906
0.0	1.7962	0.5	10.411076927579415	0.9281539189840399	0	0	-24.10715593421432	-24.12793335729479
0.0	1.804	0.5	8.997245248353602	1.0692363649486463	0	0	-24.10715875083204	-24.13133633812034
0.0	1.8118	0.5	7.583043601139428	1.2624746999930334	0	0	-24.10716161525414	-24.13599701934715
0.0	1.8195	0.5	6.186629985983699	1.5393505447278297	0	0	-24.107164474814148	-24.14267449327495
0.0	1.8273	0.5	4.771765667574996	1.9843464235551609	0	0	-24.10716738827687	-24.153405916674064
0.0	1.8351	0.5	3.3566243643259552	2.803511317334233	0	0	-24.10717030292687	-24.17315975836618
0.0	1.8429	0.5	1.9412523127263737	4.815378022788198	0	0	-24.107173203140825	-24.22167344208462
0.0	1.8506	0.5	0.5438472900855754	17.067800929872917	0	0	-24.107176037077426	-24.517119598586465
0.0	1.8584	0.5	-0.8718393294705964	-10.5659907194061	0	0	-24.107178863733836	-23.85078173746373
0.0	1.8662	0.5	-2.287615828646466	-3.9942763488345454	0	0	-24.107181632017074	-24.0092477981927
0.0	1.874	0.5	-3.703443672747251	-2.446052911298579	0	0	-24.107184328736007	-24.04658138733727
0.0	1.8817	0.5	-5.101140845216119	-1.7598513238883813	0	0	-24.107186908807417	-24.06312878939163
0.0	1.8895	0.5	-6.516991656791641	-1.3642044948543839	0	0	-24.107189428365004	-24.072669912907806
0.0	1.8973	0.5	-7.9328363859102495	-1.1092622640781715	0	0	-24.107191843624257	-24.078818101883193
0.0	1.9051	0.5	-9.348680053272126	-0.9310909257926422	0	0	-24.10719414626311	-24.08311499373519
0.0	1.9129	0.5	-10.7645410996416	-0.7993924576888173	0	0	-24.107196329437276	-24.08629116362804
0.0	1.9206	0.5	-12.162298189843808	-0.6991090664281896	0	0	-24.10719836226207	-24.088709693560862
0.0	1.9284	0.5	-13.578300875472186	-0.6182515255857597	0	0	-24.107200293851943	-24.0906596881227
0.0	1.9362	0.5	-14.994453311557562	-0.5523668274991222	0	0	-24.107202094870132	-24.092248515702806
0.0	1.944	0.5	-16.41082236870872	-0.4975751107356353	0	0	-24.107203764801298	-24.09356973158136
0.0	1.9517	0.5	-17.80931896740278	-0.45177830408843583	0	0	-24.107205285794407	-24.094673930174164
0.0	1.9595	0.5	-19.226348571825042	-0.4119350172526923	0	0	-24.107206699952595	-24.09563444883698
0.0	1.9673	0.5	-20.64383653980702	-0.3773282135886564	0	0	-24.107207990808128	-24.096468582300314
